playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2495455","null","Cam Newton","QB","CAR","QB","CAR","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2495459","null","Torrey Smith","WR","SF","WR","SF","null","9.0717","null","null","119","119","null","null","0.0175","null","null","null","11.6685","6.0353","3.3981","null",
"2495461","null","Shaun Draughn","RB","CLE","RB","CLE","null","1.1974","null","null","322","322","null","null","0.0588","null","null","null","1.8472","0","4.0352","null",
"2495466","null","Mark Ingram","RB","NO","RB","NO","null","15.4133","null","null","44","44","null","null","0.7132","null","null","null","17.4032","12.06","5.9014","null",
"2495467","null","Taiwan Jones","RB","OAK","RB","OAK","null","3.2971","null","null","266","266","null","null","0.2357","null","null","null","3.4879","0","5.6959","null",
"2495468","null","Mikel Leshoure","RB","FA","RB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2495469","null","Dion Lewis","RB","NE","RB","NE","null","14.0689","null","null","61","61","null","null","0.3898","null","null","null","17.2203","8.96","6.686","null",
"2495470","null","Stevan Ridley","RB","NYJ","RB","NYJ","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2495471","null","Jacquizz Rodgers","RB","CHI","RB","CHI","null","3.5513","null","null","257","257","null","null","0.1968","null","null","null","5.5331","1.6609","2.8212","null",
"2495472","null","Jordan Todman","RB","PIT","RB","PIT","null","0.539","null","null","370","370","null","null","0.0064","null","null","null","1.2183","0","4.7642","null",
"2495473","null","Shane Vereen","RB","NYG","RB","NYG","null","8.9185","null","null","127","127","null","null","0.142","null","null","null","9.9638","7.48","3.2139","null",
"2495474","null","Ryan Williams","RB","FA","RB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2495558","null","Dwayne Bowe","WR","CLE","WR","CLE","null","2.1373","null","null","294","294","null","null","0.0685","null","null","null","4.337","0.29","6.5359","null",
"2495560","null","Ahmad Bradshaw","RB","FA","RB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2495573","null","Scott Chandler","TE","NE","TE","NE","null","4.4905","null","null","228","228","null","null","0.222","null","null","null","5.0858","2.5","3.4238","null",
"2495620","null","Clark Harris","TE","CIN","TE","CIN","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2495647","null","Calvin Johnson","WR","DET","WR","DET","null","17.8692","null","null","22","22","null","null","0.4138","null","null","null","20.0703","15.05","3.5616","null",
"2495651","null","Jacoby Jones","WR","SD","WR","SD","null","2.1654","null","null","291","291","null","null","0.0578","null","null","null","3.541","0.278","3.4692","null",
"2495660","null","Brian Leonard","RB","FA","RB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2495663","null","Marshawn Lynch","RB","SEA","RB","SEA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2495676","null","Robert Meachem","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2495700","null","Greg Olsen","TE","CAR","TE","CAR","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2495724","null","Dante Rosario","TE","FA","TE","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2495748","null","Drew Stanton","QB","ARI","QB","ARI","null","1.0419","null","null","333","333","null","null","0.0405","null","null","null","1.8359","0","2.3261","null",
"2495801","null","Miles Austin","WR","PHI","WR","PHI","null","3.4159","null","null","262","262","null","null","0.3248","null","null","null","4.113","2","4.2181","null",
"2495802","null","Jason Avant","WR","KC","WR","KC","null","4.1603","null","null","239","239","null","null","0.1028","null","null","null","4.9786","2","4.0744","null",
"2495821","null","Marques Colston","WR","NO","WR","NO","null","10.3415","null","null","102","102","null","null","0.7692","null","null","null","13.8465","5.9754","5.4337","null",
"2495824","null","Jay Cutler","QB","CHI","QB","CHI","null","16.9422","null","null","31","31","null","null","0.1666","null","null","null","18.8971","12.9017","4.5391","null",
"2495825","null","Owen Daniels","TE","DEN","TE","DEN","null","9.9746","null","null","110","110","null","null","0.7495","null","null","null","12.0026","7.5","3.6178","null",
"2495826","null","Vernon Davis","TE","SF","TE","SF","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2495831","null","Maurice Jones-Drew","RB","FA","RB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2495835","null","Anthony Fasano","TE","TEN","TE","TEN","null","3.9886","null","null","246","246","null","null","0.2985","null","null","null","4.5756","2.72","3.7564","null",
"2495838","null","Bruce Gradkowski","QB","PIT","QB","PIT","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2495843","null","Derek Hagan","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2495863","null","Tarvaris Jackson","QB","SEA","QB","SEA","null","0.1705","null","null","419","419","null","null","0.0958","null","null","null","0.2705","0","6.6312","null",
"2495867","null","Greg Jennings","WR","MIA","WR","MIA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2495888","null","Marcedes Lewis","TE","JAC","TE","JAC","null","4.6284","null","null","224","224","null","null","0.1144","null","null","null","5.6707","3.01","3.7418","null",
"2495893","null","Brandon Marshall","WR","NYJ","WR","NYJ","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2495966","null","Delanie Walker","TE","TEN","TE","TEN","null","11.177","null","null","98","98","null","null","1.4347","null","null","null","16.2158","6.53","7.5708","null",
"2495967","null","Leon Washington","RB","FA","RB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2495974","null","Charlie Whitehurst","QB","TEN","QB","TEN","null","0.2784","null","null","396","396","null","null","0.0173","null","null","null","0.4662","0","5.7498","null",
"2495979","null","DeAngelo Williams","RB","PIT","RB","PIT","null","4.1143","null","null","241","241","null","null","0.1122","null","null","null","7.8362","1.9509","5.6365","null",
"2499248","null","Kris Durham","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2499255","null","Richard Gordon","TE","FA","TE","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2499277","null","David Ausberry","TE","FA","TE","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2501078","null","Matt Hasselbeck","QB","IND","QB","IND","null","15.0639","null","null","49","49","null","null","0.4274","null","null","null","17.0692","12.7003","4.1492","null",
"2501863","null","Peyton Manning","QB","DEN","QB","DEN","null","19.2499","null","null","12","12","null","null","0.3183","null","null","null","21.5014","17.2406","3.886","null",
"2504211","null","Tom Brady","QB","NE","QB","NE","null","20.8866","null","null","5","5","null","null","0.7411","null","null","null","21.8347","17.674","5.9803","null",
"2504531","null","Michael Vick","QB","PIT","QB","PIT","null","16.6621","null","null","35","35","null","null","0.185","null","null","null","19.5499","13.804","5.7806","null",
"2504595","null","Steve Smith","WR","BAL","WR","BAL","null","2.0598","null","null","297","297","null","null","0.2699","null","null","null","5.1321","0","10.2315","null",
"2504743","null","Santana Moss","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2504747","null","Reggie Wayne","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2504775","null","Drew Brees","QB","NO","QB","NO","null","19.2683","null","null","11","11","null","null","0.1378","null","null","null","20.033","17.2702","4.7973","null",
"2504833","null","Shaun Hill","QB","MIN","QB","MIN","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2505076","null","Josh McCown","QB","CLE","QB","CLE","null","15.1424","null","null","46","46","null","null","0.0666","null","null","null","16.2567","13.5411","3.6022","null",
"2505245","null","Carson Palmer","QB","ARI","QB","ARI","null","19.3169","null","null","10","10","null","null","0.0578","null","null","null","20.506","17.6006","4.485","null",
"2505299","null","Antonio Gates","TE","SD","TE","SD","null","11.5139","null","null","90","90","null","null","0.1915","null","null","null","13.2364","9.4456","3.9468","null",
"2505310","null","Kassim Osgood","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2505354","null","Tony Romo","QB","DAL","QB","DAL","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2505551","null","Andre Johnson","WR","IND","WR","IND","null","5.1582","null","null","208","208","null","null","0.2007","null","null","null","6.7879","2.9559","4.8122","null",
"2505587","null","Anquan Boldin","WR","SF","WR","SF","null","13.3459","null","null","69","69","null","null","0.6411","null","null","null","17.248","10.95","4.7393","null",
"2505629","null","Jason Witten","TE","DAL","TE","DAL","null","12.0702","null","null","81","81","null","null","0.5792","null","null","null","13.4679","8.3328","4.675","null",
"2505785","null","Malcom Floyd","WR","SD","WR","SD","null","9.0534","null","null","121","121","null","null","0.0966","null","null","null","12.2577","3.52","4.38","null",
"2505790","null","Wes Welker","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2505936","null","Steven Jackson","RB","FA","RB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2505982","null","Matt Schaub","QB","BAL","QB","BAL","null","0.1943","null","null","412","412","null","null","0.0161","null","null","null","0.3702","-0.11","6.3906","null",
"2505996","null","Eli Manning","QB","NYG","QB","NYG","null","18.8521","null","null","17","17","null","null","1.0042","null","null","null","20.1091","17.2211","3.6226","null",
"2506004","null","Jerricho Cotchery","WR","CAR","WR","CAR","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2506053","null","Luke McCown","QB","NO","QB","NO","null","0.2591","null","null","402","402","null","null","0.0215","null","null","null","0.4101","-0.01","6.3555","null",
"2506106","null","Larry Fitzgerald","WR","ARI","WR","ARI","null","17.0326","null","null","30","30","null","null","0.5891","null","null","null","18.4853","14.001","4.9232","null",
"2506109","null","Ben Roethlisberger","QB","PIT","QB","PIT","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2506121","null","Philip Rivers","QB","SD","QB","SD","null","19.6715","null","null","9","9","null","null","0.3789","null","null","null","20.6704","18.9477","4.6065","null",
"2506122","null","Benjamin Watson","TE","NO","TE","NO","null","5.5567","null","null","196","196","null","null","0.3131","null","null","null","6.8147","3.5909","2.7283","null",
"2506147","null","John Kuhn","RB","GB","RB","GB","null","1.806","null","null","302","302","null","null","0.2619","null","null","null","3.1514","0.4554","2.8386","null",
"2506222","null","Josh Cribbs","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2506287","null","Lance Moore","WR","DET","WR","DET","null","4.9193","null","null","216","216","null","null","0.2313","null","null","null","7.4691","2.14","3.7367","null",
"2506313","null","Nate Washington","WR","HOU","WR","HOU","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2506340","null","Alex Smith","QB","KC","QB","KC","null","18.1329","null","null","21","21","null","null","0.5722","null","null","null","19.2436","15.426","3.2383","null",
"2506341","null","Ronnie Brown","RB","FA","RB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2506363","null","Aaron Rodgers","QB","GB","QB","GB","null","21.4648","null","null","4","4","null","null","0.7117","null","null","null","22.7228","19.432","5.9311","null",
"2506364","null","Jason Campbell","QB","FA","QB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2506366","null","Roddy White","WR","ATL","WR","ATL","null","8.5598","null","null","138","138","null","null","0.4186","null","null","null","11.0565","5.3049","3.8987","null",
"2506369","null","Heath Miller","TE","PIT","TE","PIT","null","8.2447","null","null","139","139","null","null","0.4082","null","null","null","10.2794","5.9249","4.4439","null",
"2506400","null","Vincent Jackson","WR","TB","WR","TB","null","13.8352","null","null","62","62","null","null","0.2543","null","null","null","15.8714","10.4044","4.6265","null",
"2506404","null","Frank Gore","RB","IND","RB","IND","null","12.5287","null","null","74","74","null","null","0.0593","null","null","null","14.3417","8.46","5.0166","null",
"2506410","null","Alex Smith","TE","NO","TE","NO","null","0.9914","null","null","339","339","null","null","0.1649","null","null","null","2.2727","0","2.1901","null",
"2506444","null","Kyle Orton","QB","FA","QB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2506467","null","Darren Sproles","RB","PHI","RB","PHI","null","11.5648","null","null","88","88","null","null","0.0858","null","null","null","13.1712","8.87","3.2749","null",
"2506481","null","Dan Orlovsky","QB","DET","QB","DET","null","0.2357","null","null","404","404","null","null","0.0456","null","null","null","0.3891","-0.01","6.0673","null",
"2506546","null","Derek Anderson","QB","CAR","QB","CAR","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2506562","null","Matt Cassel","QB","DAL","QB","DAL","null","0.7378","null","null","361","361","null","null","0.144","null","null","null","1.5532","0","8.1208","null",
"2506581","null","Ryan Fitzpatrick","QB","NYJ","QB","NYJ","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2506619","null","Daniel Fells","TE","NYG","TE","NYG","null","2.7489","null","null","273","273","null","null","0.3295","null","null","null","3.7376","0","6.507","null",
"2506817","null","Montell Owens","RB","FA","RB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2506871","null","Fred Jackson","RB","SEA","RB","SEA","null","4.8478","null","null","218","218","null","null","0.5286","null","null","null","8.6332","0","7.7447","null",
"2506874","null","Reggie Bush","RB","SF","RB","SF","null","6.227","null","null","187","187","null","null","0.2368","null","null","null","7.4868","4.0071","2.5911","null",
"2506885","null","Santonio Holmes","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2506895","null","Kellen Clemens","QB","SD","QB","SD","null","0.7597","null","null","360","360","null","null","0.0865","null","null","null","1.2531","0","3.5536","null",
"2506897","null","Devin Hester","WR","ATL","WR","ATL","null","1.0325","null","null","334","334","null","null","0.0797","null","null","null","1.7397","-0.0994","3.4004","null",
"2506916","null","Brad Smith","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2507029","null","Eric Weems","WR","ATL","WR","ATL","null","0.3699","null","null","387","387","null","null","0.0308","null","null","null","0.9681","0","5.9544","null",
"2507141","null","Pierre Thomas","RB","FA","RB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2507164","null","Adrian Peterson","RB","MIN","RB","MIN","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2507166","null","Ted Ginn","WR","CAR","WR","CAR","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2507170","null","Zach Miller","TE","FA","TE","FA","null","0.8013","null","null","354","354","null","null","0.0161","null","null","null","1.4536","0","3.4583","null",
"2507182","null","Matt Spaeth","TE","PIT","TE","PIT","null","0.6904","null","null","364","364","null","null","0.0266","null","null","null","1.4082","0","2.5132","null",
"2507183","null","James Jones","WR","GB","WR","GB","null","14.2792","null","null","59","59","null","null","0.2943","null","null","null","16.434","11.84","4.4233","null",
"2507192","null","Michael Bush","RB","FA","RB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2507218","null","Brent Celek","TE","PHI","TE","PHI","null","3.6346","null","null","253","253","null","null","0.0797","null","null","null","4.7638","1.0254","5.5238","null",
"2507237","null","Jordan Palmer","QB","FA","QB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2507278","null","Jackie Battle","RB","FA","RB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2507282","null","Matt Moore","QB","MIA","QB","MIA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2507405","null","Matthew Mulligan","TE","BUF","TE","BUF","null","0.4575","null","null","381","381","null","null","0.1157","null","null","null","0.6829","0","6.2087","null",
"2507428","null","Mike Tolbert","RB","CAR","RB","CAR","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2507486","null","Kellen Davis","TE","NYJ","TE","NYJ","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2507585","null","Will Taufoou","RB","FA","RB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2507596","null","Marcus Thigpen","RB","BUF","RB","BUF","null","0.0602","null","null","429","429","null","null","0.0198","null","null","null","0.1","0","7.5051","null",
"2507596","null","Marcus Thigpen","WR","BUF","WR","BUF","null","0","null","null","448","829","null","null","0","null","null","null","0.1","0","7.2452","null",
"2507737","null","Darrel Young","RB","WAS","RB","WAS","null","1.308","null","null","316","316","null","null","0.1379","null","null","null","2.2973","0","6.2046","null",
"2507763","null","Mike Wallace","WR","MIN","WR","MIN","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2507779","null","Donald Brown","RB","SD","RB","SD","null","1.0825","null","null","329","329","null","null","0.0053","null","null","null","2.2483","0","1.7943","null",
"2507828","null","Logan Paulsen","TE","WAS","TE","WAS","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2507855","null","Victor Cruz","WR","NYG","WR","NYG","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2507883","null","Jeff Cumberland","TE","NYJ","TE","NYJ","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2507884","null","David Nelson","WR","PIT","WR","PIT","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2507897","null","Alfonso Smith","RB","FA","RB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2507902","null","Marlon Moore","WR","CLE","WR","CLE","null","0.2329","null","null","405","405","null","null","0.0203","null","null","null","0.5274","0","6.0699","null",
"2507999","null","Chris Ivory","RB","NYJ","RB","NYJ","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2508020","null","Richie Brockel","TE","CAR","TE","CAR","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2508051","null","John Conner","RB","FA","RB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2508061","null","Antonio Brown","WR","PIT","WR","PIT","null","19.1329","null","null","15","15","null","null","0.4196","null","null","null","22.6054","16.99","5.4328","null",
"2508096","null","Tyler Clutts","RB","DAL","RB","DAL","null","0.5301","null","null","372","372","null","null","0.038","null","null","null","0.933","0.02","5.6193","null",
"2508097","null","Andrew Hawkins","WR","CLE","WR","CLE","null","7.5491","null","null","157","157","null","null","0.2155","null","null","null","10.3876","4.555","2.1837","null",
"2508101","null","James Develin","RB","NE","RB","NE","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2508112","null","Rob Housler","TE","CLE","TE","CLE","null","1.6004","null","null","308","308","null","null","0.0563","null","null","null","3.1874","0.16","7.3348","null",
"2508115","null","Vincent Brown","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2508123","null","T.J. Yates","QB","FA","QB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2508137","null","Ryan Taylor","TE","FA","TE","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2527672","null","Will Tukuafu","RB","SEA","RB","SEA","null","0.0033","null","null","445","445","null","null","0.0033","null","null","null","0.007","0","7.7719","null",
"2528181","null","Bryan Walters","WR","JAC","WR","JAC","null","4.6301","null","null","223","223","null","null","0.0605","null","null","null","7.8614","0.0165","5.8033","null",
"2530515","null","Chris Hogan","WR","BUF","WR","BUF","null","4.4223","null","null","231","231","null","null","0.2062","null","null","null","5.9821","0.843","4.3803","null",
"2530516","null","Robert Hughes","RB","FA","RB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2530575","null","Drew Davis","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2530598","null","Jeremy Ross","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2530660","null","Kamar Aiken","WR","BAL","WR","BAL","null","11.4389","null","null","93","93","null","null","0.4348","null","null","null","14.2608","4.2693","5.581","null",
"2530690","null","DuJuan Harris","RB","FA","RB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2530699","null","Henry Hynoski","RB","FA","RB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2530700","null","Dontrelle Inman","WR","SD","WR","SD","null","5.2744","null","null","203","203","null","null","0.0345","null","null","null","6.8218","0.06","4.5007","null",
"2530713","null","Jeff Maehl","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2530720","null","Joseph Morgan","WR","NO","WR","NO","null","0.2094","null","null","410","410","null","null","0.0316","null","null","null","0.4302","0","6.5327","null",
"2530747","null","Doug Baldwin","WR","SEA","WR","SEA","null","11.3884","null","null","95","95","null","null","0.9077","null","null","null","13.3835","8.2689","3.7485","null",
"2530754","null","Brett Brackett","TE","FA","TE","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2530763","null","Patrick DiMarco","RB","ATL","RB","ATL","null","1.0478","null","null","332","332","null","null","0.089","null","null","null","1.5643","0.14","4.5007","null",
"2530959","null","Marcus Harris","WR","NYG","WR","NYG","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2530990","null","Phillip Tanner","RB","FA","RB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2531049","null","Chris Matthews","WR","SEA","WR","SEA","null","2.8737","null","null","270","270","null","null","0.1026","null","null","null","4.057","1.82","4.4036","null",
"2531218","null","Chase Reynolds","RB","STL","RB","STL","null","0.1758","null","null","415","415","null","null","0.0168","null","null","null","0.4391","0","6.381","null",
"2531332","null","Terrelle Pryor","QB","FA","QB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2531332","null","Terrelle Pryor","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2532790","null","Travis Benjamin","WR","CLE","WR","CLE","null","12.6821","null","null","71","71","null","null","0.2326","null","null","null","14.7467","10.1087","5.0168","null",
"2532797","null","Brandon Bolden","RB","NE","RB","NE","null","2.1479","null","null","292","292","null","null","0.0335","null","null","null","2.9593","0","7.5194","null",
"2532799","null","Jarrett Boykin","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2532807","null","Ryan Broyles","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2532809","null","LaRon Byrd","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2532820","null","Kirk Cousins","QB","WAS","QB","WAS","null","15.0875","null","null","48","48","null","null","0.1867","null","null","null","16.4161","10.5202","4.5125","null",
"2532823","null","Juron Criner","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2532835","null","Rhett Ellison","TE","MIN","TE","MIN","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2532838","null","Coby Fleener","TE","IND","TE","IND","null","7.5622","null","null","156","156","null","null","0.4858","null","null","null","9.0704","6.02","3.4812","null",
"2532841","null","Michael Floyd","WR","ARI","WR","ARI","null","9.0305","null","null","122","122","null","null","0.2399","null","null","null","12.9622","4.524","4.356","null",
"2532842","null","Nick Foles","QB","STL","QB","STL","null","14.5353","null","null","54","54","null","null","1.0946","null","null","null","15.3712","12.7966","3.3597","null",
"2532850","null","T.J. Graham","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2532851","null","Cyrus Gray","RB","FA","RB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2532853","null","Ladarius Green","TE","SD","TE","SD","null","6.9003","null","null","168","168","null","null","0.2291","null","null","null","8.0435","5.078","4.5737","null",
"2532862","null","Junior Hemingway","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2532864","null","Dan Herron","RB","FA","RB","FA","null","4.4287","null","null","230","230","null","null","0.2195","null","null","null","7.3263","0","8.7611","null",
"2532865","null","T.Y. Hilton","WR","IND","WR","IND","null","14.9518","null","null","51","51","null","null","0.2727","null","null","null","15.5911","13.7283","3.2173","null",
"2532876","null","A.J. Jenkins","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2532884","null","Marvin Jones","WR","CIN","WR","CIN","null","8.6126","null","null","136","136","null","null","0.0434","null","null","null","9.0847","7.0452","4.9766","null",
"2532887","null","Jermaine Kearse","WR","SEA","WR","SEA","null","8.0036","null","null","144","144","null","null","0.0536","null","null","null","9.1258","6.0173","2.7864","null",
"2532888","null","Case Keenum","QB","STL","QB","STL","null","0.9905","null","null","340","340","null","null","0.0659","null","null","null","1.699","-0.0345","2.7028","null",
"2532894","null","Ryan Lindley","QB","FA","QB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2532899","null","Doug Martin","RB","TB","RB","TB","null","12.4269","null","null","77","77","null","null","0.8586","null","null","null","14.3254","10.55","3.3917","null",
"2532900","null","Keshawn Martin","WR","NE","WR","NE","null","1.8239","null","null","301","301","null","null","0.0803","null","null","null","2.8937","0.22","5.3738","null",
"2532903","null","Rishard Matthews","WR","MIA","WR","MIA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2532917","null","Kellen Moore","QB","DAL","QB","DAL","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2532923","null","Chris Owusu","WR","NYJ","WR","NYJ","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2532926","null","Isaiah Pead","RB","FA","RB","FA","null","0.0266","null","null","435","435","null","null","0.0017","null","null","null","0.0487","0","7.6463","null",
"2532930","null","DeVier Posey","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2532933","null","Brian Quick","WR","STL","WR","STL","null","3.8642","null","null","248","248","null","null","0.0467","null","null","null","6.3509","0.52","3.6971","null",
"2532941","null","Gerell Robinson","TE","MIA","TE","MIA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2532956","null","Ryan Tannehill","QB","MIA","QB","MIA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2532960","null","Nick Toon","WR","STL","WR","STL","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2532970","null","Brandon Weeden","QB","DAL","QB","DAL","null","14.7377","null","null","53","53","null","null","0.3178","null","null","null","16.6517","11.6717","4.9068","null",
"2532975","null","Russell Wilson","QB","SEA","QB","SEA","null","19.0111","null","null","16","16","null","null","0.5186","null","null","null","20.4428","17.6012","2.4572","null",
"2532977","null","Kendall Wright","WR","TEN","WR","TEN","null","12.2553","null","null","79","79","null","null","0.1892","null","null","null","13.7243","9.7681","3.3575","null",
"2532978","null","Jarius Wright","WR","MIN","WR","MIN","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2532991","null","Evan Rodriguez","TE","FA","TE","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2533012","null","Vick Ballard","RB","FA","RB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2533028","null","James Hanna","TE","DAL","TE","DAL","null","0.3088","null","null","392","392","null","null","0.0248","null","null","null","0.5927","0.01","5.6729","null",
"2533030","null","Jonas Gray","RB","MIA","RB","MIA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2533031","null","Andrew Luck","QB","IND","QB","IND","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2533032","null","Trent Richardson","RB","FA","RB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2533033","null","Robert Griffin","QB","WAS","QB","WAS","null","0.1859","null","null","413","413","null","null","0.0434","null","null","null","0.4332","0","6.62","null",
